iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
CHN,gadm_CHN.12.12_1,14801499.140200006,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.4_1,14783312.098000005,1,2025-07-31 00:00:00
NLD,ghs-fua_296,14672937.052800003,1,2025-07-31 00:00:00
DEU,ghs-fua_3793,14647131.011599995,1,2025-07-31 00:00:00
IDN,ghs-fua_4897,14635015.776999991,1,2025-07-31 00:00:00
USA,gadm_USA.5.30_1,14602855.156,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.15_1,14505204.030600004,1,2025-07-31 00:00:00
USA,gadm_USA.48.17_1,14481334.041599998,1,2025-07-31 00:00:00
CAN,gadm_CAN.1.16_1,14443453.759999996,1,2025-07-31 00:00:00
CHN,gadm_CHN.30.12_1,14442883.358799998,1,2025-07-31 00:00:00
GBR,ghs-fua_3304,14285237.845000006,1,2025-07-31 00:00:00
TWN,ghs-fua_1141,14265748.252599996,1,2025-07-31 00:00:00
PHL,ghs-fua_2845,14247456.733600004,1,2025-07-31 00:00:00
USA,ghs-fua_5229,14190915.341400005,1,2025-07-31 00:00:00
CHN,ghs-fua_8989,14175034.6808,1,2025-07-31 00:00:00
CHN,gadm_CHN.1.7_1,14151433.831399998,1,2025-07-31 00:00:00
CHN,gadm_CHN.14.2_1,14047272.978200007,1,2025-07-31 00:00:00
USA,ghs-fua_7123,13994152.339600006,1,2025-07-31 00:00:00
IRN,ghs-fua_967,13816445.937400004,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.5_1,13807386.5442,1,2025-07-31 00:00:00
DEU,ghs-fua_4736,13800337.210800001,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.5_1,13800148.332400005,1,2025-07-31 00:00:00
CHN,gadm_CHN.18.13_1,13783434.794599999,1,2025-07-31 00:00:00
CHN,ghs-fua_5723,13775769.2084,1,2025-07-31 00:00:00
USA,ghs-fua_6487,13773166.784000002,1,2025-07-31 00:00:00
CHN,ghs-fua_8630,13771744.876,1,2025-07-31 00:00:00
USA,ghs-fua_5349,13701248.652600005,1,2025-07-31 00:00:00
CHN,gadm_CHN.8.9_1,13699145.190399997,1,2025-07-31 00:00:00
USA,ghs-fua_7020,13677976.711199997,1,2025-07-31 00:00:00
CHN,ghs-fua_7578,13639475.609000005,1,2025-07-31 00:00:00
CHN,ghs-fua_10078,13591952.435600003,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.6_1,13585703.771800004,1,2025-07-31 00:00:00
USA,gadm_USA.29.3_1,13568223.8092,1,2025-07-31 00:00:00
CHN,gadm_CHN.7.11_1,13566892.6014,1,2025-07-31 00:00:00
USA,ghs-fua_6720,13507103.777199998,1,2025-07-31 00:00:00
TKM,gadm_TKM.6.2_1,13499217.065599995,1,2025-07-31 00:00:00
DZA,ghs-fua_3145,13485948.6322,1,2025-07-31 00:00:00
USA,ghs-fua_3652,13462666.299400004,1,2025-07-31 00:00:00
GBR,ghs-fua_3799,13446893.777999999,1,2025-07-31 00:00:00
RUS,ghs-fua_6191,13407565.305399999,1,2025-07-31 00:00:00
IND,gadm_IND.25.1_1,13367004.649999999,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.18_1,13357981.546200007,1,2025-07-31 00:00:00
USA,ghs-fua_4143,13339042.6108,1,2025-07-31 00:00:00
TUR,ghs-fua_3650,13287249.308399998,1,2025-07-31 00:00:00
CAN,gadm_CAN.1.2_1,13240577.129400002,1,2025-07-31 00:00:00
USA,ghs-fua_5961,13231497.868799996,1,2025-07-31 00:00:00
CHN,gadm_CHN.4.6_1,13183721.819799999,1,2025-07-31 00:00:00
PAK,gadm_PAK.7.4_1,13157390.1458,1,2025-07-31 00:00:00
