iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
COD,gadm_COD.9.8_1,228587.8287999998,228417.1087999998,170.71999999999997,0.999253153586977,16.036054702114665,10353,1.056124202122167,46,2025-07-31T00:00:00
COD,gadm_COD.15.5_1,268734.58520000003,260192.4768,8542.108400000001,0.968213587418818,16.01350180456202,10529,1.0546388828603046,47,2025-07-31T00:00:00
COD,gadm_COD.4.4_1,227372.4722,225989.3814,1383.0908000000002,0.9939170701421436,15.989636566849214,10691,1.0530671337233697,48,2025-07-31T00:00:00
COD,gadm_COD.3.7_1,210807.7452000001,210807.7452000001,0.0,1.0,15.936318554724535,11083,1.0495556438924891,49,2025-07-31T00:00:00
COD,gadm_COD.18.1_1,209958.444,209958.444,0.0,1.0,15.931070567411059,11132,1.0492100148386383,50,2025-07-31T00:00:00
COG,ghs-fua_811,1289028.0058000004,1260649.5038000003,28378.50199999998,0.9779845729710211,18.104373412922026,2110,1.2867907437826127,1,2025-07-31T00:00:00
COG,gadm_COG.2.1_1,971532.8531999998,943766.7107999998,27766.142399999997,0.9714202743545473,17.686209925885482,2994,1.2522840564419222,2,2025-07-31T00:00:00
COG,gadm_COG.11.7_1,464692.1183999999,461287.6523999999,3404.4660000000003,0.9926737169295616,16.906511275011773,5413,1.18421392198454,3,2025-07-31T00:00:00
COG,gadm_COG.7.1_1,324557.68419999996,316571.60719999997,7986.077,0.9753939672706108,16.30993453143266,8469,1.1358660073821143,4,2025-07-31T00:00:00
COG,gadm_COG.5.2_1,253675.2969999999,249406.7799999999,4268.5170000000035,0.9831733044152108,16.051325640363327,10225,1.1132073459801228,5,2025-07-31T00:00:00
COG,ghs-fua_35,284772.3096000001,272189.4354000001,12582.874200000002,0.9558142636210862,15.994314264590322,10651,1.1114497632339364,6,2025-07-31T00:00:00
COG,gadm_COG.7.3_1,201954.3474,201954.3474,0.0,1.0,15.88054246931411,11531,1.096942063986736,7,2025-07-31T00:00:00
COG,ghs-fua_1670,130726.112,130726.112,0.0,1.0,15.315127509472186,16307,1.0492958513133077,8,2025-07-31T00:00:00
COG,ghs-fua_1758,152825.19199999998,146046.43939999997,6778.752599999998,0.9556437488395236,15.200483673836146,17403,1.044574481035404,9,2025-07-31T00:00:00
COG,gadm_COG.10.1_1,131119.39300000004,118728.61000000006,12390.782999999994,0.9054999972429708,14.650887056729994,22719,1.0038451260564414,10,2025-07-31T00:00:00
