iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
RUS,gadm_RUS.79.18_1,2447865.715,1,2025-07-31 00:00:00
GBR,ghs-fua_2374,2425050.0858,1,2025-07-31 00:00:00
CHN,gadm_CHN.6.15_1,2421993.9585999995,1,2025-07-31 00:00:00
CHN,gadm_CHN.23.10_1,2414193.7430000002,1,2025-07-31 00:00:00
USA,gadm_USA.31.9_1,2407583.1602,1,2025-07-31 00:00:00
GBR,ghs-fua_4227,2405273.358,1,2025-07-31 00:00:00
USA,ghs-fua_4881,2403985.2892000005,1,2025-07-31 00:00:00
CHN,ghs-fua_5723,2387050.0074000005,1,2025-07-31 00:00:00
CHN,gadm_CHN.12.16_1,2377841.6769999997,1,2025-07-31 00:00:00
CHN,gadm_CHN.17.3_1,2375864.6873999997,1,2025-07-31 00:00:00
BEL,gadm_BEL.3.2_1,2374840.3604000015,1,2025-07-31 00:00:00
USA,ghs-fua_7195,2372316.1389999995,1,2025-07-31 00:00:00
DEU,ghs-fua_4454,2356407.0646000006,1,2025-07-31 00:00:00
USA,gadm_USA.36.18_1,2353328.4024,1,2025-07-31 00:00:00
USA,gadm_USA.39.2_1,2342418.171000001,1,2025-07-31 00:00:00
USA,gadm_USA.44.227_1,2339659.1180000002,1,2025-07-31 00:00:00
CHN,ghs-fua_9701,2337892.8002,1,2025-07-31 00:00:00
SGP,ghs-fua_154,2333184.7175999996,1,2025-07-31 00:00:00
ESP,ghs-fua_4156,2325283.507,1,2025-07-31 00:00:00
HUN,gadm_HUN.5.1_1,2325028.0702000004,1,2025-07-31 00:00:00
CAN,ghs-fua_3789,2320649.5601999993,1,2025-07-31 00:00:00
TWN,gadm_TWN.3.1_1,2287783.1894,1,2025-07-31 00:00:00
AUT,ghs-fua_790,2267333.501599999,1,2025-07-31 00:00:00
DEU,ghs-fua_2877,2263077.0121999998,1,2025-07-31 00:00:00
USA,ghs-fua_6630,2256490.9124,1,2025-07-31 00:00:00
CHN,gadm_CHN.13.12_1,2248932.947399999,1,2025-07-31 00:00:00
USA,ghs-fua_5985,2248107.2266,1,2025-07-31 00:00:00
CZE,ghs-fua_535,2247245.4718,1,2025-07-31 00:00:00
USA,gadm_USA.6.17_1,2241281.243,1,2025-07-31 00:00:00
USA,ghs-fua_6350,2206472.5898,1,2025-07-31 00:00:00
RUS,gadm_RUS.35.33_1,2197549.2432,1,2025-07-31 00:00:00
USA,gadm_USA.23.67_1,2179183.0801999997,1,2025-07-31 00:00:00
CAN,gadm_CAN.3.2_1,2171084.9398000007,1,2025-07-31 00:00:00
USA,gadm_USA.5.34_1,2167482.0174000002,1,2025-07-31 00:00:00
USA,ghs-fua_7141,2165726.8114,1,2025-07-31 00:00:00
USA,gadm_USA.47.40_1,2159042.4766,1,2025-07-31 00:00:00
DEU,gadm_DEU.10.24_1,2149155.1658000005,1,2025-07-31 00:00:00
USA,gadm_USA.43.79_1,2124319.821,1,2025-07-31 00:00:00
FRA,gadm_FRA.1.11_1,2122826.8880000003,1,2025-07-31 00:00:00
GBR,ghs-fua_955,2122574.2812,1,2025-07-31 00:00:00
BEL,ghs-fua_657,2121799.9543999997,1,2025-07-31 00:00:00
DEU,ghs-fua_3667,2120255.1336000008,1,2025-07-31 00:00:00
USA,gadm_USA.14.100_1,2120020.0456,1,2025-07-31 00:00:00
RUS,gadm_RUS.38.33_1,2113455.6956000007,1,2025-07-31 00:00:00
USA,ghs-fua_7032,2105003.0444,1,2025-07-31 00:00:00
GRC,gadm_GRC.3.1_1,2101884.4722000007,1,2025-07-31 00:00:00
USA,gadm_USA.15.50_1,2096991.6439999999,1,2025-07-31 00:00:00
USA,gadm_USA.21.16_1,2088338.7341999996,1,2025-07-31 00:00:00
IND,ghs-fua_9099,2087841.7289999994,1,2025-07-31 00:00:00
OMN,ghs-fua_1110,2071569.3185999987,1,2025-07-31 00:00:00
DEU,gadm_DEU.9.34_1,2068579.0814000003,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.9_1,2065019.0617999996,1,2025-07-31 00:00:00
GRC,ghs-fua_959,2063640.1549999998,1,2025-07-31 00:00:00
HKG,ghs-fua_73,2062671.9118,1,2025-07-31 00:00:00
CHN,ghs-fua_8055,2051492.2370000002,1,2025-07-31 00:00:00
BEL,gadm_BEL.2.4_1,2030782.1490000004,1,2025-07-31 00:00:00
USA,gadm_USA.34.60_1,2028876.6591999996,1,2025-07-31 00:00:00
USA,gadm_USA.33.3_1,2023303.9591999997,1,2025-07-31 00:00:00
LUX,ghs-fua_103,2020932.073200001,1,2025-07-31 00:00:00
CHN,ghs-fua_8989,1992798.7567999994,1,2025-07-31 00:00:00
DEU,ghs-fua_815,1990370.4644000004,1,2025-07-31 00:00:00
CHN,ghs-fua_9917,1990342.6846,1,2025-07-31 00:00:00
RUS,gadm_RUS.51.23_1,1989001.3249999993,1,2025-07-31 00:00:00
USA,gadm_USA.10.6_1,1985735.2617999995,1,2025-07-31 00:00:00
RUS,ghs-fua_6179,1985690.0879999998,1,2025-07-31 00:00:00
TUR,gadm_TUR.8.14_1,1982854.4231999996,1,2025-07-31 00:00:00
TKM,ghs-fua_1138,1982778.8716000004,1,2025-07-31 00:00:00
IND,gadm_IND.16.3_1,1973466.4695999995,1,2025-07-31 00:00:00
RUS,ghs-fua_6167,1963833.5018000004,1,2025-07-31 00:00:00
USA,gadm_USA.11.67_1,1962418.6808000007,1,2025-07-31 00:00:00
CHN,gadm_CHN.15.5_1,1960043.3242000001,1,2025-07-31 00:00:00
CHN,gadm_CHN.10.9_1,1959044.3494,1,2025-07-31 00:00:00
RUS,gadm_RUS.47.30_1,1957123.9854000006,1,2025-07-31 00:00:00
RUS,gadm_RUS.69.18_1,1957000.5308000003,1,2025-07-31 00:00:00
USA,gadm_USA.34.92_1,1949417.8884000005,1,2025-07-31 00:00:00
RUS,ghs-fua_5262,1948897.8252000005,1,2025-07-31 00:00:00
USA,gadm_USA.5.15_1,1942364.9921999995,1,2025-07-31 00:00:00
USA,gadm_USA.44.43_1,1936247.5015999998,1,2025-07-31 00:00:00
POL,gadm_POL.7.36_1,1930554.3629999997,1,2025-07-31 00:00:00
CHN,ghs-fua_8332,1927474.8387999998,1,2025-07-31 00:00:00
GBR,ghs-fua_4767,1927173.7789999999,1,2025-07-31 00:00:00
IRN,ghs-fua_6030,1926981.9388000001,1,2025-07-31 00:00:00
USA,gadm_USA.5.10_1,1925286.614,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.3_1,1915574.5934000006,1,2025-07-31 00:00:00
IND,ghs-fua_10452,1913871.1001999993,1,2025-07-31 00:00:00
AUS,ghs-fua_1830,1908409.9390000005,1,2025-07-31 00:00:00
RUS,gadm_RUS.43.4_1,1908338.0398000001,1,2025-07-31 00:00:00
USA,gadm_USA.38.26_1,1905075.4510000006,1,2025-07-31 00:00:00
CHN,gadm_CHN.5.7_1,1902607.4828,1,2025-07-31 00:00:00
DZA,ghs-fua_3145,1901511.4812000003,1,2025-07-31 00:00:00
USA,ghs-fua_7302,1899975.7944000002,1,2025-07-31 00:00:00
MYS,ghs-fua_1322,1897729.590600001,1,2025-07-31 00:00:00
